Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Intiial Trading High,Initial Trading Low,Close Day 1,Volume Initial Trading Day,Close Day 7 Trading,Price End Day 30,Price End Day 90,Price End Day 180,Price End Day 365,Price End Day 2 Years,Price End Day 5 Years,Price End Day 10 Years,notes,,,,,,,,,
UK Main Market,14/02/2006,01/02/2006,2006,IPO,,INGENIOUS MUSIC VCT 2,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,5.6,,5.6,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,14/02/2006,01/02/2006,2006,IPO,,NARDINA RESOURCES,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,3,,6.18,Nabarro Wells & Co. Limited,3.18,-,-,,,,,,,,,,,,,,,,,,,,,,,
International Main Market,13/02/2006,01/02/2006,2006,IPO,,COMSTAR UNITED TELESYSTEM,International Offering (GDR),Russia,6535,Fixed Line Telecommunications,Fixed Line Telecommunications,7.25,,563.89,,563.89,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,13/02/2006,01/02/2006,2006,IPO,,TRADER MEDIA EAST,International Offering (GDR),United Kingdom,5555,Media,Media Agencies,13,,316.27,,316.27,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,13/02/2006,01/02/2006,2006,IPO,,MICROFUZE INTERNATIONAL,New Company Placing,United Kingdom,1757,Industrial Metals,Steel,10,,14.91,Nabarro Wells & Co. Limited,2.51,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,13/02/2006,01/02/2006,2006,IPO,,CAGNEY,New Company Placing,United Kingdom,5555,Media,Media Agencies,8,,6.64,ARM Corporate Finance Limited,2.03,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,10/02/2006,01/02/2006,2006,IPO,,SOLOMON GOLD,New Company Placing,United Kingdom,1777,Mining,Gold Mining,50,,13.41,William de Broe Plc,5,-,-,,,,,,,,,,,,,,,,,,,,,,,
International Main Market,08/02/2006,01/02/2006,2006,IPO,,LOTTE SHOPPING CO,International Offering (GDR),South Korea,5373,General Retailers,Broadline Retailers,20.67,,"1,586.18",,1586.18,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,08/02/2006,01/02/2006,2006,IPO,,DOWNING PROTECTED VCT V,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,4.86,,4.86,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,07/02/2006,01/02/2006,2006,IPO,,CHINA GOLDMINES,New Company Placing,United Kingdom,1777,Mining,Gold Mining,60,,13.53,Brewin Dolphin Securities Limited,4.5,-,-,,,,,,,,,,,,,,,,,,,,,,,
