Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
28/05/2021,TRELLUS HEALTH PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,10.5
28/05/2014,TREMOR INTERNATIONAL LTD,Consumer Discretionary,Media,Israel,Middle East,AIM ,Yes,297.6
21/03/1996,TRIAD GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,22.8
27/09/2018,TRIAN INVESTORS 1 LIMITED,,,Guernsey,Europe,MAIN MARKET ,No,-
08/07/2002,TRIBAL GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,84.89
28/09/2018,TRIDENT ROYALTIES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,149.73
16/02/1994,TRIFAST PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,105.89
14/02/2013,TRINITY EXPLORATION & PRODUCTION PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,33.3
19/10/2020,TRIPLE POINT ENERGY TRANSITION PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,62.51
18/02/2008,TRIPLE POINT INCOME VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,18.09
08/08/2017,TRIPLE POINT SOCIAL HOUSING REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,171.99
24/12/2010,TRIPLE POINT VCT 2011 PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,41.69
01/06/2005,TRISTEL PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,154.77
09/12/2013,TRITAX BIG BOX REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"2,614.49"
09/07/2018,TRITAX EUROBOX PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,488.12
18/07/1988,TROY INCOME & GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,182.7
11/03/1953,TR PROPERTY INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,885.41
21/02/2018,TRUFIN PLC,Financials,Financial Services ,Jersey,Europe,AIM ,No,54.15
23/03/2021,TRUSTPILOT GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,368.93
09/12/1948,TT ELECTRONICS PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,330.47
20/12/2017,TUFTON OCEANIC ASSETS LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,286.08
17/12/2014,TUI AG,Consumer Discretionary,Travel and Leisure,Germany,Europe,MAIN MARKET ,Yes,"1,113.25"
18/12/2000,TULLOW OIL PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,455.9
21/10/2021,TUNGSTEN WEST PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,19.41
14/05/1998,TURKIYE IS BANKASI A.S.,Financials,Banks,Turkey,Europe,MAIN MARKET ,Yes,-
06/03/2013,TWENTYFOUR INCOME FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,721.63
10/03/2014,TWENTYFOUR SELECT MONTHLY INCOME FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,177.7
27/04/2007,TYMAN PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,472.06
25/04/2018,UAE OIL SERVICES PLC,Financials,Financial Services ,Isle of Man,Europe,MAIN MARKET ,No,5.5
20/06/2007,UIL FINANCE LIMITED,Financials,Financial Services ,Bermuda,North America,MAIN MARKET ,Yes,37.05
20/06/2007,UIL LIMITED,Financials,Financial Services ,Bermuda,North America,MAIN MARKET ,Yes,107.74
22/09/2006,UK COMMERCIAL PROPERTY REIT LIMITED,Real Estate,Real Estate ,Guernsey,Europe,MAIN MARKET ,No,667.9
02/03/2005,UK OIL & GAS PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,12.66
11/02/2005,UKRPRODUCT GROUP LIMITED,Consumer Staples ,"Food, Beverage and Tobacco ",Jersey,Europe,AIM ,No,1.29
18/02/1976,UNBOUND GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,5.54
05/11/2001,UNICORN AIM VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,180.2
27/10/2022,UNICORN MINERAL RESOURCES PLC,Basic Materials,Basic Resources,Ireland,Europe,MAIN MARKET ,Yes,1.6
11/08/1939,UNILEVER PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",United Kingdom,Europe,MAIN MARKET ,No,"105,934.35"
30/07/2013,UNION JACK OIL PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,29.1
17/07/2019,UNIPHAR PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",Ireland,Europe,AIM ,Yes,741.24
