Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Transfer,Country of Inc.,FTSE Industry,FTSE Sector,FTSE Subsector,Issue Price,Currency,Market Cap - Opening Price (Â£m),Nominated Advisor (AIM only),Money Raised - New (Â£m),Money Raised - Existing (Â£m),TOTAL RAISED (Â£m),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650
UK Main Market,2021-07-19,2021-07-01,2021,IPO,AC8,ACCELER8 VENTURES PLC,New Company Placing,,Jersey,,,,100.0,GBX,0.76875,,0.325,0,0.325,102.5,117.75,108.0,112.5,9016.0,195.0,255.0,205.0,395.0,225.0,,,
UK Main Market,2021-07-16,2021-07-01,2021,IPO,BUMP,SERAPHINE GROUP PLC,New Company Placing,,United Kingdom,40204020.0,Personal Goods,Clothing and Accessories,295.0,GBX,142.5510818055,,60.99718245,14.5472701,75.54445255,305.0,309.8999938964844,284.0,285.5,330155.0,279.5,286.0,192.75,227.5,31.75,,,
AIM,2021-07-15,2021-07-01,2021,IPO,ORCA,ORCADIAN ENERGY PLC,New Company Placing,,United Kingdom,60101010.0,"Oil, Gas and Coal",Oil: Crude Producers,40.0,GBX,27.04282395,W.H. Ireland Limited,3.0,0,3,42.5,43.75,40.0,40.5,259809.0,40.5,34.5,40.0,35.5,35.5,,,
AIM,2021-07-14,2021-07-01,2021,IPO,LINV,LENDINVEST PLC,New Company Placing,,United Kingdom,30201025.0,Finance and Credit Services,Mortgage Finance,186.0,GBX,261.77843631,"Joh. Berenberg, Gossler & Co. KG",40.04900292,0,40.04900292,190.5,208.5,191.0,188.52175903320312,395192.0,188.52175903320312,199.49896240234375,209.99891662597656,204.27166748046875,144.61289978027344,,,
UK Main Market,2021-07-14,2021-07-01,2021,IPO,SSIT,SERAPHIM SPACE INVESTMENT TRUST PLC,New Company Placing,,United Kingdom,30204000.0,Closed End Investments,Closed End Investments,100.0,GBX,187.3352901,,178.414562,0,178.414562,99.0,99.0,99.0,99.0,0.0,106.75,114.5,116.19999694824219,121.0,47.974998474121094,,,
AIM,2021-07-08,2021-07-01,2021,IPO,CMO,CMO GROUP PLC,New Company Placing,,United Kingdom,40401030.0,Retailers ,Specialty Retailers ,132.0,GBX,99.678030345,Liberum Capital Limited,27.27072612,17.72927376,44.99999988,138.5,165.0,142.0,154.0,355412.0,159.5,210.5,181.5,170.0,77.5,,,
AIM,2021-07-08,2021-07-01,2021,IPO,LLAI,"LUNGLIFE AI, INC",New Company Placing,,United States,20103010.0,"Pharmaceuticals, Biotechnology and Marijuana Producers",Biotechnology,176.0,GBX,47.1394615,Investec Bank PLC,17.00000016,0,17.00000016,185.0,210.0,188.0,205.0,42948.0,200.5,200.5,187.5,188.0,145.0,,,
UK Main Market,2021-07-08,2021-07-01,2021,IPO,IBSU,INSIGHT BUSINESS SUPPORT PLC,New Company Placing,,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,2.0,GBX,1.5364375,,0.7755,0.17,0.9455,,,,,,,,,,,,,
AIM,2021-07-07,2021-07-01,2021,IPO,SED,SAIETTA GROUP PLC,New Company Placing,,United Kingdom,40101025.0,Automobiles and Parts,Auto Parts,120.0,GBX,107.15758578,Canaccord Genuity Ltd,35.177628,2.322372,37.5,126.0,136.0,125.0,125.5,406231.0,117.5,155.0,240.0,255.0,147.5,,,
UK Main Market,2021-07-05,2021-07-01,2021,IPO,BCG,BALTIC CLASSIFIEDS GROUP PLC,New Company Placing,,United Kingdom,10101020.0,Software and Computer Services,Consumer Digital Services ,165.0,GBX,1000.0,,101.152623,228.847377,330,165.02000427246094,184.9600067138672,165.0,176.48526000976562,6348440.0,196.20428466796875,219.669921875,220.8530731201172,226.76876831054688,130.934326171875,,,
